seq_len,pattern,sparsity,error_triton_vs_pytorch,error_triton_vs_dense,error_pytorch_vs_dense
1024,local,0.2890625,0.0009765625,0.809814453125,0.809814453125
1024,bigbird,0.48046875,0.0009765625,0.460174560546875,0.460205078125
1024,longformer,0.484375,0.000732421875,0.4385833740234375,0.438629150390625
2048,local,0.150390625,0.0009765625,0.85113525390625,0.85162353515625
2048,bigbird,0.2568359375,0.0009765625,0.5123291015625,0.5118408203125
2048,longformer,0.26171875,0.000732421875,0.5318603515625,0.5323486328125
4096,local,0.07666015625,0.00146484375,0.795440673828125,0.795928955078125
4096,bigbird,0.133544921875,0.000732421875,0.5545425415039062,0.5550308227539062
4096,longformer,0.1357421875,0.0009765625,0.574951171875,0.575439453125
