seq_len,stage1_pattern,stage2_topk,pruning_method,sparsity_stage1,sparsity_stage2,time_dense_ms,time_stage1_ms,time_stage2_ms,error_stage1,error_stage2,speedup_stage1,speedup_stage2,accuracy_improvement
2048,bigbird,4,norm,0.2568359375,0.125,1.368342200294137,0.12412939686328173,0.07287620101124048,0.5123291015625,0.71978759765625,11.023514452432673,18.776255914919094,-0.20745849609375
2048,bigbird,4,exact,0.2568359375,0.125,1.368342200294137,0.12412939686328173,0.07197558879852295,0.5123291015625,0.893310546875,11.023514452432673,19.011198423460726,-0.3809814453125
2048,bigbird,4,adaptive,0.2568359375,0.2568359375,1.368342200294137,0.12412939686328173,0.10350639931857586,0.5123291015625,0.5123291015625,11.023514452432673,13.219880213228192,0.0
2048,bigbird,4,entropy,0.2568359375,0.125,1.368342200294137,0.12412939686328173,0.07151400204747915,0.5123291015625,0.831787109375,11.023514452432673,19.13390610394976,-0.3194580078125
2048,bigbird,8,norm,0.2568359375,0.2421875,1.368342200294137,0.12412939686328173,0.09261341765522957,0.5123291015625,0.5123291015625,11.023514452432673,14.774772759040616,0.0
2048,bigbird,8,exact,0.2568359375,0.2421875,1.368342200294137,0.12412939686328173,0.09183338843286037,0.5123291015625,0.5123291015625,11.023514452432673,14.900269103045625,0.0
2048,bigbird,8,adaptive,0.2568359375,0.2568359375,1.368342200294137,0.12412939686328173,0.09377559181302786,0.5123291015625,0.5123291015625,11.023514452432673,14.591666912882536,0.0
2048,bigbird,8,entropy,0.2568359375,0.2421875,1.368342200294137,0.12412939686328173,0.09143000934273005,0.5123291015625,0.5123291015625,11.023514452432673,14.966007442532753,0.0
2048,bigbird,16,norm,0.2568359375,0.2568359375,1.368342200294137,0.12412939686328173,0.09288080036640167,0.5123291015625,0.5123291015625,11.023514452432673,14.732239546776295,0.0
2048,bigbird,16,exact,0.2568359375,0.2568359375,1.368342200294137,0.12412939686328173,0.09501359891146421,0.5123291015625,0.5123291015625,11.023514452432673,14.40154057914582,0.0
2048,bigbird,16,adaptive,0.2568359375,0.2568359375,1.368342200294137,0.12412939686328173,0.09663160890340805,0.5123291015625,0.5123291015625,11.023514452432673,14.160399643784443,0.0
2048,bigbird,16,entropy,0.2568359375,0.2568359375,1.368342200294137,0.12412939686328173,0.09341698605567217,0.5123291015625,0.5123291015625,11.023514452432673,14.647680877636844,0.0
2048,longformer,4,norm,0.26171875,0.125,1.368342200294137,0.15057821292430162,0.06910720840096474,0.5318603515625,0.6817626953125,9.087252224078574,19.80028179339733,-0.14990234375
2048,longformer,4,exact,0.26171875,0.125,1.368342200294137,0.15057821292430162,0.06914138793945312,0.5318603515625,0.81939697265625,9.087252224078574,19.790493669181036,-0.28753662109375
2048,longformer,4,adaptive,0.26171875,0.259765625,1.368342200294137,0.15057821292430162,0.14655680861324072,0.5318603515625,0.5318603515625,9.087252224078574,9.33659932446505,0.0
2048,longformer,4,entropy,0.26171875,0.125,1.368342200294137,0.15057821292430162,0.06912779062986374,0.5318603515625,0.7589111328125,9.087252224078574,19.7943864229765,-0.22705078125
2048,longformer,8,norm,0.26171875,0.21484375,1.368342200294137,0.15057821292430162,0.08457119110971689,0.5318603515625,0.5318603515625,9.087252224078574,16.17976739288138,0.0
2048,longformer,8,exact,0.26171875,0.21484375,1.368342200294137,0.15057821292430162,0.0846274197101593,0.5318603515625,0.5318603515625,9.087252224078574,16.16901714574988,0.0
2048,longformer,8,adaptive,0.26171875,0.259765625,1.368342200294137,0.15057821292430162,0.15059178695082664,0.5318603515625,0.5318603515625,9.087252224078574,9.086433118301116,0.0
2048,longformer,8,entropy,0.26171875,0.21484375,1.368342200294137,0.15057821292430162,0.08719121105968952,0.5318603515625,0.5318603515625,9.087252224078574,15.693579475084876,0.0
2048,longformer,16,norm,0.26171875,0.23046875,1.368342200294137,0.15057821292430162,0.10361180175095797,0.5318603515625,0.5318603515625,9.087252224078574,13.206431865581235,0.0
2048,longformer,16,exact,0.26171875,0.23046875,1.368342200294137,0.15057821292430162,0.10302758309990168,0.5318603515625,0.5318603515625,9.087252224078574,13.281319032470275,0.0
2048,longformer,16,adaptive,0.26171875,0.259765625,1.368342200294137,0.15057821292430162,0.1495411852374673,0.5318603515625,0.5318603515625,9.087252224078574,9.150269861250914,0.0
2048,longformer,16,entropy,0.26171875,0.23046875,1.368342200294137,0.15057821292430162,0.10388598311692476,0.5318603515625,0.5318603515625,9.087252224078574,13.171576754046342,0.0
2048,local,4,norm,0.150390625,0.123046875,1.368342200294137,0.07826820947229862,0.07409141398966312,0.85113525390625,0.85113525390625,17.482732893978273,18.468296481493002,0.0
2048,local,4,exact,0.150390625,0.123046875,1.368342200294137,0.07826820947229862,0.07163258269429207,0.85113525390625,0.85113525390625,17.482732893978273,19.102231817242174,0.0
2048,local,4,adaptive,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07931420113891363,0.85113525390625,0.85113525390625,17.482732893978273,17.252171498236176,0.0
2048,local,4,entropy,0.150390625,0.123046875,1.368342200294137,0.07826820947229862,0.07182878907769918,0.85113525390625,0.85113525390625,17.482732893978273,19.05005246314209,0.0
2048,local,8,norm,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07950679864734411,0.85113525390625,0.85113525390625,17.482732893978273,17.210379786054258,0.0
2048,local,8,exact,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07515659090131521,0.85113525390625,0.85113525390625,17.482732893978273,18.206549603757924,0.0
2048,local,8,adaptive,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07809540256857872,0.85113525390625,0.85113525390625,17.482732893978273,17.52141810258985,0.0
2048,local,8,entropy,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07845580112189054,0.85113525390625,0.85113525390625,17.482732893978273,17.440930826367477,0.0
2048,local,16,norm,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07852998096495867,0.85113525390625,0.85113525390625,17.482732893978273,17.424456029152907,0.0
2048,local,16,exact,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07729378994554281,0.85113525390625,0.85113525390625,17.482732893978273,17.703132441276328,0.0
2048,local,16,adaptive,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.07866378873586655,0.85113525390625,0.85113525390625,17.482732893978273,17.394816881865303,0.0
2048,local,16,entropy,0.150390625,0.150390625,1.368342200294137,0.07826820947229862,0.08343320805579424,0.85113525390625,0.85113525390625,17.482732893978273,16.40045051820477,0.0
4096,bigbird,4,norm,0.133544921875,0.0625,4.811871191486716,0.1349939964711666,0.08797359187155962,0.5545425415039062,0.906005859375,35.6450754646299,54.696768531538304,-0.35146331787109375
4096,bigbird,4,exact,0.133544921875,0.0625,4.811871191486716,0.1349939964711666,0.08749859407544136,0.5545425415039062,0.9588623046875,35.6450754646299,54.99369723972841,-0.40431976318359375
4096,bigbird,4,adaptive,0.133544921875,0.133544921875,4.811871191486716,0.1349939964711666,0.13806179631501436,0.5545425415039062,0.5545425415039062,35.6450754646299,34.85302465938885,0.0
4096,bigbird,4,entropy,0.133544921875,0.0625,4.811871191486716,0.1349939964711666,0.09334799833595753,0.5545425415039062,0.8875255584716797,35.6450754646299,51.54766333787781,-0.33298301696777344
4096,bigbird,8,norm,0.133544921875,0.122802734375,4.811871191486716,0.1349939964711666,0.13179839588701725,0.5545425415039062,0.5545425415039062,35.6450754646299,36.50933047479304,0.0
4096,bigbird,8,exact,0.133544921875,0.122802734375,4.811871191486716,0.1349939964711666,0.1278941985219717,0.5545425415039062,0.5545425415039062,35.6450754646299,37.623842575314754,0.0
4096,bigbird,8,adaptive,0.133544921875,0.133544921875,4.811871191486716,0.1349939964711666,0.13308359775692225,0.5545425415039062,0.5545425415039062,35.6450754646299,36.15675614868498,0.0
4096,bigbird,8,entropy,0.133544921875,0.122802734375,4.811871191486716,0.1349939964711666,0.12740199454128742,0.5545425415039062,0.5545425415039062,35.6450754646299,37.769198267357766,0.0
4096,bigbird,16,norm,0.133544921875,0.133544921875,4.811871191486716,0.1349939964711666,0.13262680731713772,0.5545425415039062,0.5545425415039062,35.6450754646299,36.281286482155544,0.0
4096,bigbird,16,exact,0.133544921875,0.133544921875,4.811871191486716,0.1349939964711666,0.1310938037931919,0.5545425415039062,0.5545425415039062,35.6450754646299,36.70555779339291,0.0
4096,bigbird,16,adaptive,0.133544921875,0.133544921875,4.811871191486716,0.1349939964711666,0.13481779024004936,0.5545425415039062,0.5545425415039062,35.6450754646299,35.69166341414553,0.0
4096,bigbird,16,entropy,0.133544921875,0.133544921875,4.811871191486716,0.1349939964711666,0.13462018687278032,0.5545425415039062,0.5545425415039062,35.6450754646299,35.74405372081427,0.0
4096,longformer,4,norm,0.1357421875,0.0625,4.811871191486716,0.27098460122942924,0.08682759944349527,0.574951171875,0.906005859375,17.756991244726645,55.418682795879135,-0.3310546875
4096,longformer,4,exact,0.1357421875,0.0625,4.811871191486716,0.27098460122942924,0.09477559942752123,0.574951171875,0.890045166015625,17.756991244726645,50.77120293147342,-0.315093994140625
4096,longformer,4,adaptive,0.1357421875,0.13427734375,4.811871191486716,0.27098460122942924,0.25243558920919895,0.574951171875,0.574951171875,17.756991244726645,19.061778121542964,0.0
4096,longformer,4,entropy,0.1357421875,0.0625,4.811871191486716,0.27098460122942924,0.08842339739203453,0.574951171875,0.918701171875,17.756991244726645,54.41852873117704,-0.34375
4096,longformer,8,norm,0.1357421875,0.1083984375,4.811871191486716,0.27098460122942924,0.11941960547119379,0.574951171875,0.574951171875,17.756991244726645,40.293812498379324,0.0
4096,longformer,8,exact,0.1357421875,0.1083984375,4.811871191486716,0.27098460122942924,0.11769921984523535,0.574951171875,0.574951171875,17.756991244726645,40.88277898370036,0.0
4096,longformer,8,adaptive,0.1357421875,0.13427734375,4.811871191486716,0.27098460122942924,0.250398600474,0.574951171875,0.574951171875,17.756991244726645,19.216845391219966,0.0
4096,longformer,8,entropy,0.1357421875,0.1083984375,4.811871191486716,0.27098460122942924,0.1150862080976367,0.574951171875,0.574951171875,17.756991244726645,41.81101516008266,0.0
4096,longformer,16,norm,0.1357421875,0.1123046875,4.811871191486716,0.27098460122942924,0.12545660138130188,0.574951171875,0.574951171875,17.756991244726645,38.35486645188111,0.0
4096,longformer,16,exact,0.1357421875,0.1123046875,4.811871191486716,0.27098460122942924,0.12631758581846952,0.574951171875,0.574951171875,17.756991244726645,38.09343853675161,0.0
4096,longformer,16,adaptive,0.1357421875,0.13427734375,4.811871191486716,0.27098460122942924,0.23931099567562342,0.574951171875,0.574951171875,17.756991244726645,20.107188045838967,0.0
4096,longformer,16,entropy,0.1357421875,0.1123046875,4.811871191486716,0.27098460122942924,0.12744320556521416,0.574951171875,0.574951171875,17.756991244726645,37.75698492631234,0.0
4096,local,4,norm,0.07666015625,0.06201171875,4.811871191486716,0.0968368025496602,0.08635560516268015,0.795440673828125,0.872955322265625,49.690521215000615,55.721584979016946,-0.0775146484375
4096,local,4,exact,0.07666015625,0.06201171875,4.811871191486716,0.0968368025496602,0.08651281241327524,0.795440673828125,0.873291015625,49.690521215000615,55.6203301830047,-0.077850341796875
4096,local,4,adaptive,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09689421858638525,0.795440673828125,0.795440673828125,49.690521215000615,49.661076395355124,0.0
4096,local,4,entropy,0.07666015625,0.06201171875,4.811871191486716,0.0968368025496602,0.0897448044270277,0.795440673828125,0.980224609375,49.690521215000615,53.61726756448939,-0.184783935546875
4096,local,8,norm,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09674360044300556,0.795440673828125,0.795440673828125,49.690521215000615,49.73839271489103,0.0
4096,local,8,exact,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.10257840622216463,0.795440673828125,0.795440673828125,49.690521215000615,46.90920212842019,0.0
4096,local,8,adaptive,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09873779490590096,0.795440673828125,0.795440673828125,49.690521215000615,48.73383283546613,0.0
4096,local,8,entropy,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09869260247796774,0.795440673828125,0.795440673828125,49.690521215000615,48.75614859341585,0.0
4096,local,16,norm,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09869399946182966,0.795440673828125,0.795440673828125,49.690521215000615,48.75545846480493,0.0
4096,local,16,exact,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.10207900777459145,0.795440673828125,0.795440673828125,49.690521215000615,47.138694785436996,0.0
4096,local,16,adaptive,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09897740092128515,0.795440673828125,0.795440673828125,49.690521215000615,48.61585722293825,0.0
4096,local,16,entropy,0.07666015625,0.07666015625,4.811871191486716,0.0968368025496602,0.09611821733415127,0.795440673828125,0.795440673828125,49.690521215000615,50.06201035500307,0.0
