seq_len,stage1_pattern,stage2_topk,sparsity_stage1,sparsity_stage2,sparsity_direct,time_dense_ms,time_stage1_ms,time_stage2_ms,time_direct_ms,error_stage1,error_stage2,error_direct,two_stage_better,speedup_stage1,speedup_stage2,speedup_direct
2048,bigbird,4,0.2568359375,0.125,0.125,1.3442376046441495,0.1069691963493824,0.08479900425300002,0.08166941115632653,0.5123291015625,0.71978759765625,0.762664794921875,True,12.566585994098764,15.852044684788773,16.459499163904745
2048,bigbird,8,0.2568359375,0.2421875,0.25,1.3442376046441495,0.1069691963493824,0.10302260052412748,0.10200920514762402,0.5123291015625,0.5123291015625,0.415771484375,False,12.566585994098764,13.04798750764726,13.177610811679374
2048,bigbird,16,0.2568359375,0.2568359375,0.5,1.3442376046441495,0.1069691963493824,0.10458680335432291,0.14090839540585876,0.5123291015625,0.5123291015625,0.2586669921875,False,12.566585994098764,12.852841482209694,9.539797829450396
2048,bigbird,32,0.2568359375,0.2568359375,1.0,1.3442376046441495,0.1069691963493824,0.10504840174689889,0.22144479444250464,0.5123291015625,0.5123291015625,0.0003662109375,False,12.566585994098764,12.796364173944536,6.070305730276102
2048,longformer,4,0.26171875,0.125,0.125,1.3442376046441495,0.15185140073299408,0.08343460503965616,0.0828235992230475,0.5318603515625,0.6817626953125,0.762664794921875,True,8.852322719154708,16.111271863817638,16.23012785310211
2048,longformer,8,0.26171875,0.21484375,0.25,1.3442376046441495,0.15185140073299408,0.09712680475786328,0.10162239195778966,0.5318603515625,0.5318603515625,0.415771484375,False,8.852322719154708,13.840027045009133,13.227769773442237
2048,longformer,16,0.26171875,0.23046875,0.5,1.3442376046441495,0.15185140073299408,0.1123658032156527,0.14300240436568856,0.5318603515625,0.5318603515625,0.2586669921875,False,8.852322719154708,11.963048954175905,9.40010491856234
2048,longformer,32,0.26171875,0.26171875,1.0,1.3442376046441495,0.15185140073299408,0.1540494034998119,0.22185159614309669,0.5318603515625,0.5318603515625,0.0003662109375,False,8.852322719154708,8.726016291557993,6.05917481782327
2048,local,4,0.150390625,0.123046875,0.125,1.3442376046441495,0.08914719801396132,0.08323279907926917,0.08216260466724634,0.85113525390625,0.85113525390625,0.762664794921875,False,15.078854238734783,16.150335198554668,16.360698520795825
2048,local,8,0.150390625,0.150390625,0.25,1.3442376046441495,0.08914719801396132,0.09068279759958386,0.10154140181839466,0.85113525390625,0.85113525390625,0.415771484375,False,15.078854238734783,14.823512730382705,13.238320336056608
2048,local,16,0.150390625,0.150390625,0.5,1.3442376046441495,0.08914719801396132,0.09033919777721167,0.142355402931571,0.85113525390625,0.85113525390625,0.2586669921875,False,15.078854238734783,14.87989308870349,9.44282813972514
2048,local,32,0.150390625,0.150390625,1.0,1.3442376046441495,0.08914719801396132,0.08924080757424235,0.22238639649003744,0.85113525390625,0.85113525390625,0.0003662109375,False,15.078854238734783,15.063037204429534,6.044603563259631
4096,bigbird,4,0.133544921875,0.0625,0.0625,4.790325404610485,0.14321859925985336,0.10258359834551811,0.10112900054082274,0.5545425415039062,0.906005859375,0.899688720703125,False,33.4476487646622,46.6967963872343,47.36846383324805
4096,bigbird,8,0.133544921875,0.122802734375,0.125,4.790325404610485,0.14321859925985336,0.1315128058195114,0.13307820772752166,0.5545425415039062,0.5545425415039062,0.54248046875,False,33.4476487646622,36.42478293090897,35.99631740170939
4096,bigbird,16,0.133544921875,0.133544921875,0.25,4.790325404610485,0.14321859925985336,0.13677439419552684,0.1981195993721485,0.5545425415039062,0.5545425415039062,0.32747650146484375,False,33.4476487646622,35.02355417317689,24.178957658865045
4096,bigbird,32,0.133544921875,0.133544921875,0.5,4.790325404610485,0.14321859925985336,0.13769340002909303,0.3334280103445053,0.5545425415039062,0.5545425415039062,0.153289794921875,False,33.4476487646622,34.78979677746605,14.366895569634396
4096,longformer,4,0.1357421875,0.0625,0.0625,4.790325404610485,0.24740399094298482,0.09784280555322766,0.09866820182651281,0.574951171875,0.906005859375,0.899688720703125,False,19.362361077329723,48.95940358133425,48.54983992749011
4096,longformer,8,0.1357421875,0.1083984375,0.125,4.790325404610485,0.24740399094298482,0.12385239824652672,0.1330810016952455,0.574951171875,0.574951171875,0.54248046875,False,19.362361077329723,38.677695970613335,35.99556167739325
4096,longformer,16,0.1357421875,0.1123046875,0.25,4.790325404610485,0.24740399094298482,0.13109160354360938,0.1989178010262549,0.574951171875,0.574951171875,0.32747650146484375,False,19.362361077329723,36.54181713489315,24.08193424568481
4096,longformer,32,0.1357421875,0.1201171875,0.5,4.790325404610485,0.24740399094298482,0.1798913930542767,0.35866680555045605,0.574951171875,0.574951171875,0.153289794921875,False,19.362361077329723,26.628986096989927,13.355920677573263
4096,local,4,0.07666015625,0.06201171875,0.0625,4.790325404610485,0.09844240266829729,0.08974379161372781,0.09027239866554737,0.795440673828125,0.872955322265625,0.899688720703125,True,48.66119959253267,53.37779158282994,53.06522785949546
4096,local,8,0.07666015625,0.07666015625,0.125,4.790325404610485,0.09844240266829729,0.09967840742319822,0.12999180471524596,0.795440673828125,0.795440673828125,0.54248046875,False,48.66119959253267,48.05780437755699,36.85098006835085
4096,local,16,0.07666015625,0.07666015625,0.25,4.790325404610485,0.09844240266829729,0.09998920140787959,0.20545959705486894,0.795440673828125,0.795440673828125,0.32747650146484375,False,48.66119959253267,47.90842748177991,23.315169859557383
4096,local,32,0.07666015625,0.07666015625,0.5,4.790325404610485,0.09844240266829729,0.09950660169124603,0.3625476034358144,0.795440673828125,0.795440673828125,0.153289794921875,False,48.66119959253267,48.14077983965468,13.212955648343064
